#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cycle, obs_G3d_cycle, obs_Rn3d_cycle, clm_Rn3d_cycle, clm_G3d_cycle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle
163, 7.64122, 6.58533, 101.48, 39.6608, 7.30736, 7.31513, 105.821, 68.9289, 5.74584, 207.445, 189.556, 13.9821, 75.386, 11.8068, 18.6285
164, 7.84057, 6.66526, 103.355, 39.5596, 7.08299, 7.29388, 103.557, 70.6013, 5.37821, 202.106, 184.384, 10.1562, 78.8771, 6.51315, 18.1663
165, 7.31744, 6.46182, 104.127, 44.0855, 6.80216, 7.16241, 100.876, 77.456, 4.90676, 205.749, 187.775, 9.67222, 79.0605, 3.77729, 18.0383
166, 7.73571, 6.53502, 105.536, 43.0897, 7.1262, 7.08773, 102.673, 73.7347, 4.89519, 202.285, 184.423, 7.99492, 77.7028, 7.29787, 17.6722
167, 7.68006, 6.46096, 99.3214, 41.7839, 6.9294, 7.06885, 103.718, 73.0657, 4.0157, 199.587, 181.918, 5.81478, 74.6573, 10.775, 18.2862
168, 7.80129, 6.56945, 104.939, 46.1344, 7.15716, 7.22903, 108.063, 78.4641, 4.11926, 217.077, 197.523, 10.3301, 78.0541, 10.054, 19.9555
169, 7.86799, 6.82916, 104.347, 39.9468, 7.24153, 7.46998, 107.848, 74.9364, 4.55411, 213.403, 193.627, 10.5025, 81.2227, 7.19857, 19.4268
170, 7.64321, 6.72669, 101.478, 40.2839, 7.10366, 7.43439, 107.263, 76.3256, 5.10963, 212.38, 193.193, 9.57504, 79.1257, 9.24625, 18.891
171, 7.52362, 6.73247, 94.6984, 37.1809, 6.89256, 7.26085, 100.695, 72.0262, 4.8308, 198.853, 180.588, 7.8781, 79.471, 3.31092, 17.9131
172, 7.80826, 6.7167, 98.2067, 40.0268, 6.86491, 7.18518, 103.689, 73.7165, 5.28126, 205.918, 186.997, 9.3115, 79.7529, 5.50206, 18.4338
173, 7.46525, 6.88591, 97.1143, 37.1134, 7.00426, 7.13866, 104.727, 67.7935, 5.2797, 198.683, 180.723, 8.21167, 80.3242, 6.05364, 18.3491
174, 7.4743, 6.6418, 92.4676, 37.553, 7.04162, 6.99613, 100.562, 73.0576, 4.38786, 197.29, 178.656, 5.74925, 75.0709, 8.75802, 16.7326
175, 7.20043, 6.65618, 87.3721, 35.8577, 6.82707, 6.81147, 94.5505, 61.8586, 2.99306, 178.21, 160.897, 4.76217, 68.4652, 11.0269, 15.0585
176, 7.21652, 6.64594, 93.2628, 38.173, 6.61208, 6.8866, 98.5593, 67.0596, 4.40494, 194.456, 176.238, 9.96558, 70.7867, 11.9883, 15.7842
177, 7.93886, 6.72474, 95.9228, 39.6872, 7.01151, 6.91225, 100.735, 72.918, 4.41883, 201.31, 181.961, 8.28286, 77.4345, 7.52988, 15.7706
